ID, PageRank
0.6159822885715768,13
0.6803146657810611,21
0.3703704821323509,10
8.625287162398566,1
0.8164994623606294,17
0.15,61
0.15,71
0.4344422700587084,119
0.334637964774951,127
1.6189676560164377,2
1.5924448857895395,39
0.9491986535038572,33
0.15,237
0.15,80
1.0251758142775345,60
0.15,149
0.15,279
0.4344422700587084,283
0.334637964774951,284
0.26565349316960474,93
0.15,313
1.8980044380514784,57
1.991072288265874,4
0.15,330
0.4627201565557729,342
0.15,410
0.3655323819978046,198
0.15,219
0.15,397
0.9999902643284441,51
0.9999902643284441,451
0.15,486
1.0332789379325125,64
0.15,132
0.9999902643284441,111
0.9999902643284441,499
0.26565349316960474,490
0.15,520
2.4272844333538686,144
2.679166078569884,202
0.9999902643284441,300
0.9999902643284441,529
0.9999902643284441,571
0.9999902643284441,570
0.15,581
0.15,588
0.15,602
1.3905263278295152,200
0.27749999999999997,484
0.15,628
1.4594444651558147,623
0.15,113
0.36790606653620345,395
0.15,636
0.9999902643284441,650
0.9999902643284441,651
0.15,691
1.4594444651558147,678
0.9999902643284441,184
0.15,721
0.9999902643284441,720
1.3905263278295152,717
0.5284988591022408,167
0.15,747
0.4427623655835894,770
0.15,778
0.9999902643284441,780
0.9999902643284441,814
0.15,353
0.15,9
0.15,753
0.9999902643284441,769
0.9999902643284441,847
0.15,824
0.3386727688787185,911
0.72375,923
0.3386727688787185,922
1.4850195456246684,832
0.15,977
0.6145927258222619,249
0.9999902643284441,418
0.9999902643284441,489
0.15,1012
0.15,687
2.3455579279704732,908
1.3727233916733261,1013
0.15,1024
0.15,1023
0.15,1027
0.15,950
0.3154902889625769,540
1.185943037926989,920
0.15,19
0.9999902643284441,1014
0.15,1026
0.15,533
0.15,1074
0.15,760
0.22196796338672767,606
0.9999902643284441,777
0.7971574401199251,1092
0.8927786536251759,1094
0.3758612742041727,492
0.15,576
0.15,1109
0.9999902643284441,1065
0.22196796338672767,1122
0.15,1125
0.9999902643284441,1133
0.9999902643284441,710
0.15,1095
0.15,1139
0.9999902643284441,270
0.2535675082327113,959
0.9446383729198037,882
0.5831873905428641,500
0.9999902643284441,768
0.9999902643284441,1196
0.4045534150612691,1191
0.15,1232
0.9999902643284441,1084
0.9999902643284441,1100
1.1468621174691533,1257
0.3655323819978046,1260
0.9999902643284441,1174
0.15,1285
1.449376352836912,1217
0.9999902643284441,1291
0.9999902643284441,1277
0.19469445760303172,626
0.2535675082327113,1261
0.3259956993133598,997
0.15,468
0.21375,1098
0.9999902643284441,1119
0.22196796338672767,1326
0.5294309274418426,1268
0.9999902643284441,1358
0.9999902643284441,518
0.5109983196121398,708
0.8952031897832395,41
0.3655323819978046,1267
0.2535675082327113,1328
1.2741117168332237,1363
0.15,1381
0.15,786
0.41098132975439083,1352
0.15,1384
0.15,1385
0.41764753899394425,1207
0.5730095431052932,1396
2.442450835433921,1185
0.15,935
0.15,88
1.1880416049179394,801
0.4344422700587084,465
2.601071288093514,35
2.360886965081323,1201
0.553465383440272,775
0.15,660
0.334637964774951,1556
0.15,1572
0.2676113934189219,1354
0.15,1629
0.15,1631
0.41764753899394425,178
0.15,899
0.15,1541
0.15,1648
0.15,1568
0.15,1630
0.15,1657
2.6545176858636377,1437
0.17124999999999999,1689
0.640875,1690
0.15,1662
0.9999902643284441,1700
0.9999902643284441,1708
0.7876263911909752,415
0.15,1759
0.15,1763
0.45165946543190016,1771
0.9999902643284441,1779
0.9999902643284441,1787
0.15,1585
0.49502021354858106,425
1.5711689957627937,1386
0.5702623655835894,104
0.27749999999999997,1839
1.3911687567750872,1656
0.15,1487
0.4847412159069907,1492
0.2529462396638773,1318
1.2984857312828264,1566
0.8044542964705399,1860
0.6193930759994147,1701
0.15,1984
0.15,1995
0.15,1685
0.6347869774881525,1896
0.3655323819978046,1620
0.15,2026
0.15,1528
0.27749999999999997,2040
0.15,2014
0.15,340
0.47815303697465095,823
1.6262693476266386,1615
1.1404298327972258,2080
0.4731217858499426,2082
0.15,2087
0.21375,1383
0.15,1478
0.6892779632856233,1899
0.345295422928242,1473
0.345295422928242,1204
0.34078480657027754,1846
1.5439054878092635,2028
0.8664238239394525,215
0.8702538272964239,304
0.15,2240
0.2692000232495074,1529
0.2535675082327113,2200
1.2621178932543209,905
0.15,1878
0.8024548536271422,988
1.1434975899644406,2305
0.15,2303
0.4197844654319002,2076
0.15,1829
0.9999902643284441,2241
0.9999902643284441,1121
1.595468344619812,2125
